Customer Number,Peak,Min,MaxROC,HourBeforeMaxROC,Avg,Variance,TotalEnergy,LoadFactor,Class
263,182,-254,260,17,38.417,24925,777,0.17788,1
264,180,-448,252,15,-0.5,45018,-157,-0.036343,1
265,294,-440,176,18,-5.5,54686,-282,-0.039966,1
266,188,-382,232,18,-3.8333,47703,-236,-0.052305,1
267,258,-448,-190,9,-28.083,59599,-835,-0.13485,4
268,176,-440,-248,9,-27.75,57076,-827,-0.19579,1
269,200,-366,-242,10,31.167,38819,601,0.12521,4
270,200,-366,-198,11,21.417,42042,367,0.076458,1
271,204,-350,166,18,15.083,41594,212,0.043301,1
272,224,-394,-318,12,47.083,40264,983,0.18285,4
273,274,-394,-190,9,11.333,47781,128,0.019465,1
274,154,-446,240,16,-4,49474,-245,-0.066288,1
275,262,-426,302,13,20.75,35881,354,0.056298,1
276,228,-356,192,17,35.667,40305,709,0.12957,1
277,232,-326,332,14,87.75,28472,1940,0.34842,1
278,296,-162,340,19,56.083,24267,1169,0.16456,1
279,220,-410,362,16,39.917,44550,816,0.15455,1
280,224,-402,198,18,7.8333,49730,45,0.0083705,1
281,352,-206,-274,16,144.33,11669,3272,0.38731,2
282,328,-476,-252,9,49.833,75418,1023,0.12995,4
283,542,-386,-404,9,76.917,74880,1701,0.13077,4
284,250,-366,-290,10,59.167,30582,1256,0.20933,4
285,274,-390,198,17,23.083,50475,383,0.058242,1
286,252,-370,-304,10,36.333,47907,724,0.11971,4
287,272,-376,240,18,27.417,46545,517,0.079197,1
288,200,-426,-204,12,19.5,39853,325,0.067708,1
289,176,-456,-256,10,-3.1667,45240,-218,-0.05161,1
290,308,-104,-276,11,161,6251.8,3707,0.50149,3
291,604,-398,-458,11,148.17,81811,3348,0.23096,4
292,516,-366,-312,10,81.833,62256,1787,0.1443,4
293,362,-344,-212,10,53.917,43492,1135,0.13064,4
294,266,-276,-188,10,59.833,31712,1290,0.20207,1
295,176,-398,-186,10,-1.75,43659,-184,-0.043561,1
296,172,-444,-180,10,-15.167,51868,-511,-0.12379,1
297,280,-326,-246,10,49,39405,1034,0.15387,4
298,256,-286,-240,10,106.42,22417,2411,0.39242,2
299,540,170,208,7,364.33,10928,8475,0.65394,3
300,720,192,214,7,383.92,17177,8922,0.51632,3
301,528,140,132,7,293.75,10937,6878,0.54277,3
302,350,136,202,23,191,4341.6,4324,0.51476,2
303,350,-390,168,18,105.75,56040,2327,0.27702,1
304,318,-308,-260,11,74.417,36838,1639,0.21475,4
305,420,-160,-352,15,239.08,15809,5502,0.54583,4
306,646,276,228,7,405.83,8710.2,9387,0.60546,3
307,780,-798,-1172,14,353.75,80680,8177,0.43681,4
308,530,68,172,7,240,13741,5593,0.4397,3
309,298,-270,-314,11,114.08,28213,2535,0.35445,2
310,382,-420,-246,9,91.083,71988,1899,0.20713,4
311,630,-198,290,7,229.42,43118,5258,0.34775,3
312,570,-282,-294,9,182.67,50101,4158,0.30395,4
313,574,-202,294,16,190.42,44747,4372,0.31736,1
314,512,-320,-310,10,130.58,54326,2958,0.24072,4
315,480,-272,-340,10,135.83,29241,3105,0.26953,4
316,260,-384,514,13,57.167,35673,1231,0.19728,1
317,288,-264,-206,9,111.75,35559,2416,0.34954,1
318,628,-298,-342,9,167.17,57204,3804,0.25239,4
319,398,-264,-298,9,130.67,36488,2951,0.30894,4
320,684,-192,-316,10,236.83,47268,5429,0.33071,4
321,634,-216,-344,9,209.83,41267,4786,0.31454,4
322,262,-524,-332,9,33.583,72573,650,0.10337,1
323,378,-566,-420,9,38.167,95440,657,0.072421,4
324,390,-526,-350,9,103.83,1.02E+05,2129,0.22746,4
325,628,-150,266,17,247.33,34547,5676,0.37659,2
326,540,-390,564,12,159.33,49405,3632,0.28025,1
327,402,-426,-340,11,79.917,52699,1764,0.18284,4
328,394,-572,-466,10,45.667,76772,957,0.10121,4
329,396,-382,282,16,137.08,36783,3081,0.32418,1
330,432,-616,-334,9,102.67,1.31E+05,2105,0.20303,4
331,378,-558,-278,9,57.583,1.02E+05,1128,0.12434,4
332,380,68,174,6,210.42,6610.1,4894,0.53662,3
333,690,-434,-362,9,123.83,81734,2813,0.16987,4
334,394,-456,-470,11,93.667,58011,2089,0.22092,4
335,618,174,278,7,426,19775,9931,0.66957,3
336,802,196,268,7,409.25,28624,9530,0.49512,3
337,618,226,116,20,381.08,10259,8724,0.58819,2
338,616,248,86,18,446.83,15136,10134,0.68547,2
339,906,352,308,7,567.25,17047,13045,0.59994,3
340,892,226,298,7,458.08,33463,10582,0.4943,3
341,562,186,148,7,315.75,9841.8,7351,0.545,3
342,594,242,206,7,349.33,10036,8069,0.56601,3
343,740,228,230,7,371.17,19299,8541,0.48091,3
344,442,82,-172,9,273.83,15105,6207,0.58512,3
345,408,58,-120,9,243.75,14789,5502,0.56189,3
346,714,232,298,7,354.17,14912,8172,0.47689,3
347,724,166,326,7,334.5,21686,7754,0.44625,3
348,542,90,180,7,277.58,13923,6455,0.49623,3
349,610,80,256,7,283.92,16442,6563,0.44829,3
350,660,60,270,7,289,22138,6622,0.41806,3
351,408,-60,-124,9,229.83,26425,5147,0.52563,3
352,374,-104,-152,9,177.75,25806,4013,0.44708,3
353,602,224,210,7,358.58,9215.5,8298,0.57434,3
354,718,-260,330,7,278.67,55497,6408,0.37187,4
355,660,-16,-290,10,266.42,27543,6082,0.38396,4
356,614,232,120,20,393.08,9468.5,9011,0.6115,2
357,712,164,338,7,334.08,21560,7744,0.45318,3
358,494,62,-164,10,237.42,12895,5499,0.46382,3
359,528,60,-168,9,240.67,15480,5556,0.43845,3
360,658,24,346,7,223.25,19159,5206,0.32966,3
361,406,-110,-166,10,232.42,25633,5236,0.53736,3
362,742,40,-268,11,326.92,38962,7678,0.43115,4
363,680,-390,-386,12,216.92,56173,4979,0.30509,4
364,394,-182,-326,9,158.58,36536,3555,0.37595,4
365,392,-596,-380,10,99.833,1.14E+05,2058,0.21875,4
,,,,,,,,,
